style,intensity,topic,caption
sarcastic,0.68,group projects,Nothing screams success like group projects.
sarcastic,0.45,college life,"Oh sure, because college life always works perfectly."
corporate,0.55,job applications,Leveraging job applications for improved outcomes.
sarcastic,0.3,job applications,I love how job applications ruins everything.
dark,0.76,meetings,"Eventually, meetings gets us all."
dark,0.44,long commutes,long commutes never forgets. Never forgives.
dark,0.77,burnout,burnout is just a reminder that time is winning.
wholesome,0.78,college life,"college life is hard, but you’re doing your best."
genz,0.83,work-life balance,work-life balance is literally my villain origin story
dark,0.33,job applications,"Eventually, job applications gets us all."
corporate,0.26,exams,Optimizing bandwidth to address exams.
wholesome,0.98,office politics,One step at a time with office politics. You’ve got this.
corporate,0.24,emails,Optimizing bandwidth to address emails.
dark,0.97,group projects,group projects is just a reminder that time is winning.
wholesome,0.7,group projects,You’re stronger than group projects.
genz,0.22,job applications,job applications?? nah bestie
sarcastic,0.44,side hustles,"side hustles? Yeah, what could possibly go wrong."
genz,0.58,interviews,interviews but make it emotionally exhausting.
genz,0.75,group projects,group projects is literally my villain origin story
wholesome,0.6,exams,"exams is hard, but you’re doing your best."
sarcastic,0.57,interviews,"interviews? Yeah, what could possibly go wrong."
wholesome,0.99,monday mornings,"No matter what, monday mornings doesn’t define your worth."
genz,0.81,college life,college life?? nah bestie
wholesome,0.35,meetings,One step at a time with meetings. You’ve got this.
sarcastic,0.65,monday mornings,"Oh sure, because monday mornings always works perfectly."
sarcastic,0.81,side hustles,I love how side hustles ruins everything.
dark,0.85,long commutes,long commutes is just a reminder that time is winning.
wholesome,0.93,interviews,"No matter what, interviews doesn’t define your worth."
dark,0.83,emails,"Another day, another round of emails."
genz,0.85,waking up early,waking up early but make it emotionally exhausting.
sarcastic,0.46,meetings,"meetings? Yeah, what could possibly go wrong."
wholesome,0.53,meetings,"No matter what, meetings doesn’t define your worth."
wholesome,0.51,college life,One step at a time with college life. You’ve got this.
dark,0.89,monday mornings,"Eventually, monday mornings gets us all."
wholesome,0.69,deadlines,You’re stronger than deadlines.
genz,0.26,waking up early,waking up early but make it emotionally exhausting.
sarcastic,0.91,presentations,"presentations? Yeah, what could possibly go wrong."
corporate,0.28,side hustles,Optimizing bandwidth to address side hustles.
genz,0.35,salary negotiations,salary negotiations is literally my villain origin story
corporate,0.59,deadlines,Leveraging deadlines for improved outcomes.
sarcastic,0.64,salary negotiations,"Oh sure, because salary negotiations always works perfectly."
wholesome,0.89,job applications,"job applications is hard, but you’re doing your best."
dark,0.77,procrastination,"Another day, another round of procrastination."
dark,0.72,deadlines,deadlines is just a reminder that time is winning.
wholesome,0.38,waking up early,"No matter what, waking up early doesn’t define your worth."
sarcastic,0.63,salary negotiations,"salary negotiations? Yeah, what could possibly go wrong."
sarcastic,0.7,monday mornings,"Oh sure, because monday mornings always works perfectly."
dark,0.47,interviews,"Eventually, interviews gets us all."
sarcastic,0.53,monday mornings,"Oh sure, because monday mornings always works perfectly."
sarcastic,0.57,emails,"Oh sure, because emails always works perfectly."
wholesome,0.67,performance reviews,"No matter what, performance reviews doesn’t define your worth."
genz,0.82,emails,me dealing with emails: absolutely not.
wholesome,0.98,long commutes,"No matter what, long commutes doesn’t define your worth."
dark,0.51,interviews,interviews is just a reminder that time is winning.
corporate,0.56,work-life balance,Leveraging work-life balance for improved outcomes.
wholesome,0.57,side hustles,One step at a time with side hustles. You’ve got this.
wholesome,0.45,presentations,One step at a time with presentations. You’ve got this.
wholesome,0.39,exams,"exams is hard, but you’re doing your best."
wholesome,0.39,performance reviews,"performance reviews is hard, but you’re doing your best."
wholesome,0.47,job applications,One step at a time with job applications. You’ve got this.
wholesome,0.33,job applications,One step at a time with job applications. You’ve got this.
wholesome,0.8,emails,"emails is hard, but you’re doing your best."
wholesome,0.35,exams,One step at a time with exams. You’ve got this.
genz,0.48,startups,me dealing with startups: absolutely not.
sarcastic,0.49,job applications,Nothing screams success like job applications.
genz,0.88,long commutes,long commutes but make it emotionally exhausting.
genz,0.65,interviews,me dealing with interviews: absolutely not.
wholesome,0.26,job applications,One step at a time with job applications. You’ve got this.
dark,0.93,meetings,meetings is just a reminder that time is winning.
wholesome,0.76,work-life balance,One step at a time with work-life balance. You’ve got this.
genz,0.49,monday mornings,monday mornings?? nah bestie
sarcastic,0.29,monday mornings,"Oh sure, because monday mornings always works perfectly."
wholesome,0.28,startups,One step at a time with startups. You’ve got this.
wholesome,0.89,meetings,"No matter what, meetings doesn’t define your worth."
sarcastic,0.9,interviews,Nothing screams success like interviews.
sarcastic,0.34,monday mornings,Nothing screams success like monday mornings.
genz,0.37,monday mornings,monday mornings?? nah bestie
genz,0.77,meetings,meetings?? nah bestie
dark,0.58,exams,exams never forgets. Never forgives.
genz,0.7,monday mornings,monday mornings?? nah bestie
wholesome,0.21,meetings,You’re stronger than meetings.
genz,0.55,deadlines,deadlines is literally my villain origin story
genz,0.43,office politics,office politics is literally my villain origin story
sarcastic,0.84,presentations,"presentations? Yeah, what could possibly go wrong."
dark,0.37,presentations,"Eventually, presentations gets us all."
wholesome,0.35,performance reviews,You’re stronger than performance reviews.
wholesome,0.23,side hustles,One step at a time with side hustles. You’ve got this.
corporate,0.95,performance reviews,Leveraging performance reviews for improved outcomes.
dark,0.22,startups,"Eventually, startups gets us all."
corporate,0.33,side hustles,Driving synergies to resolve side hustles.
wholesome,0.9,burnout,"No matter what, burnout doesn’t define your worth."
genz,0.45,monday mornings,monday mornings but make it emotionally exhausting.
corporate,0.6,group projects,Leveraging group projects for improved outcomes.
corporate,0.76,exams,Driving synergies to resolve exams.
dark,0.26,exams,"Another day, another round of exams."
corporate,0.85,long commutes,Aligning stakeholders around long commutes.
wholesome,0.67,monday mornings,"No matter what, monday mornings doesn’t define your worth."
wholesome,0.81,job applications,You’re stronger than job applications.
genz,0.33,office politics,office politics?? nah bestie
dark,0.57,interviews,interviews never forgets. Never forgives.
dark,0.37,exams,exams never forgets. Never forgives.
wholesome,0.94,performance reviews,"performance reviews is hard, but you’re doing your best."
sarcastic,0.6,startups,Nothing screams success like startups.
genz,0.2,performance reviews,performance reviews but make it emotionally exhausting.
corporate,1.0,work-life balance,Aligning stakeholders around work-life balance.
genz,0.29,long commutes,long commutes but make it emotionally exhausting.
dark,0.78,emails,emails is just a reminder that time is winning.
corporate,0.42,exams,Aligning stakeholders around exams.
genz,0.41,side hustles,side hustles is literally my villain origin story
genz,0.82,performance reviews,performance reviews?? nah bestie
dark,0.8,startups,startups never forgets. Never forgives.
corporate,0.25,monday mornings,Driving synergies to resolve monday mornings.
dark,0.43,monday mornings,"Eventually, monday mornings gets us all."
dark,0.63,college life,college life never forgets. Never forgives.
wholesome,0.65,startups,"No matter what, startups doesn’t define your worth."
sarcastic,0.71,long commutes,I love how long commutes ruins everything.
genz,0.54,group projects,group projects is literally my villain origin story
corporate,0.25,waking up early,Driving synergies to resolve waking up early.
dark,0.43,side hustles,"Another day, another round of side hustles."
sarcastic,0.55,deadlines,Nothing screams success like deadlines.
dark,0.28,presentations,presentations is just a reminder that time is winning.
dark,0.8,meetings,meetings never forgets. Never forgives.
sarcastic,0.61,group projects,"Oh sure, because group projects always works perfectly."
sarcastic,0.97,startups,I love how startups ruins everything.
sarcastic,0.95,salary negotiations,"salary negotiations? Yeah, what could possibly go wrong."
